Year,Month,Day,Latitude (N),Longitude (W),Depth (km),Hours,Minutes,Seconds,Mag/Int,Location,Source Catalog
2013,09,16,34.33483,-111.740833,1.64,09,26,00,2.19,"24km WSW of Strawberry, 26km SSE of Campe Verde.",AZGS
2013,09,10,36.7325,-113.8695,3.0,20,38,00,2.3,"17 km SSE of Littlefield, AZ.",AZGS
2013,09,09,36.965,-112.328,8.0,14,15,00,2.1,"31 km E of Kaibab, AZ.",UU/AZGS
2013,09,06,36.60683,-112.762667,6.81,03,21,00,1.9,"39 km SW of Fredonia, AZ.",AZGS
2013,09,04,36.903,-112.344,26.4,06,58,00,1.7,17 km ESE of Fredonia.,UU/AZGS
2013,08,20,36.246,-112.096,0.95,09,07,00,2.8,"6.8 km NW of North Rim Lodge, GC, AZ.",AZGS
2013,08,20,36.792,-112.933,24.2,01,13,00,1.4,"22 km S of Colorado City/40 km WSW of Fredonia,AZ",UU
2013,08,19,36.799,-111.543,7.02,05,03,00,1.6,"15 km SSW of Page, AZ.",AZGS/UU
2013,08,18,35.455,-114.612,1.0,18,51,00,1.3,"36 km NNE of Bullhead City, AZ.",UNR
2013,08,11,36.27433,-112.0645,2.66,02,45,00,2.0,"9 km N of the North Rim Lodge, GC.",AZGS
2013,08,11,36.215,-112.09183,5.7,01,16,00,2.0,4 km NW of North Rim Lodge.,AZGS
2013,08,07,36.814,-114.021,0.9,14,32,00,1.6,"10 km SW of Littlefield, AZ. LM faults.",UU/AZGS
2013,08,05,36.961,-113.551,12.8,13,23,00,0.7,"15 km S of St. George, UT.",UU
2013,08,02,35.547,-111.647,10.0,20,03,00,1.6,38 km N of Flagstaff.,AEIC
2013,07,31,33.759,-113.0693,3.61,01,04,00,1.95,"Approx. 38 km SW of Wickenburg, AZ.",AZGS
2013,07,18,36.529,-112.4651,6.99,23,43,00,2.0,"Approx. 48 km S of Fredonia, AZ.",AZGS
2013,07,16,36.001,-113.788,34.9,05,07,00,2.4,"5 km SE of GC SkyWalk, AZ.",AEIC
2013,07,15,36.931,-113.618,5.0,16,12,00,2.2,"~25 km NE of Littlefield, AZ. MINE BLAST?",UU
2013,07,11,36.3333,-112.1083,3.0,20,14,00,1.6,~15 km NNW of North Rim Lodge (ERH=35km),AZGS
2013,07,07,36.793,-112.889,7.0,21,03,00,2.0,"34 km SW of Fredonia, AZ.",AZGS/UU
2013,07,07,36.524,-112.4265,20.0,11,03,00,1.8,"Approx. 46 km S of Fredonia, AZ.",AZGS
2013,07,07,36.492,-112.4933,3.03,08,51,00,2.3,"48 km S of Fredonia, AZ.",AZGS
2013,07,07,36.456,-112.576,5.16,08,38,00,3.5,"54 km South of Fredonia, AZ.",AZGS/NEIC
2013,07,06,36.889,-113.52,9.6,07,37,00,1.2,"35 km E of Littletfield, AZ. Along WA fault.",UU
2013,07,01,36.07,-113.194,9.0,22,25,00,2.0,20 km SW of Vulcan's Throne.,AEIC
2013,06,18,36.792,-112.908,17.5,20,36,00,1.7,"23 km SSE of Colorado City, AZ.",UU/AZGS
2013,06,10,36.98,-112.309,26.0,00,55,00,1.3,"19 km E of Fredonia, AZ.",UU
2013,06,04,36.95,-113.032,6.99,15,52,00,2.3,"78 km SE of Littlefield, AZ. Near Hurricane fault.",AZGS
2013,06,04,36.95,-113.032,15.5,09,55,00,1.7,"6 km SW of Colorado City, AZ.",UU
2013,05,28,36.849,-111.796,6.0,13,32,00,2.7,"31 km WSW of Page, 32 km W of Lechee, AZ.",UU/AZGS
2013,05,21,36.83033,-112.812333,24.76,09,37,00,2.1,"26 km SW of Fredonia, AZ.",AZGS
2013,05,20,33.41333,-110.56483,20.76,21,25,00,2.4,"25 km East of Globe, AZ.",AZGS
2013,05,07,35.8568,-113.17,7.0,13,09,00,2.24,"90 km WSW of South Rim, 100 km NE of Kingman.",AZGS
2013,05,05,36.839,-113.72,18.3,08,55,00,2.3,"19 km ESE of Littlefield, AZ.",UU/AZGS
